"Reference","Value","Qty","DIGIKEY PN","Customer Reference"
"J5","USB4056-03-A_REVA2","1","2073-USB4056-03-ACT-ND","DAC8734"
"U9","TPT72617-SO1R","1","5503-TPT72617-SO1RCT-ND","DAC8734"
"U10","TLA2021IRUGR","1","296-TLA2021IRUGRCT-ND","DAC8734"
"PS1","TEC_2-0921","1","1951-1387-ND","DAC8734"
"U3","ISO7741FQDBQRQ1","1","296-51207-1-ND","DAC8734"
"U7","DAC8734SPFBR","1","296-DAC8734SPFBRCT-ND","DAC8734"
"U1,U2,U4,U5","CONSMA020.062-G","4","343-CONSMA020.062-G-ND","DAC8734"
"J1","Conn_01x06_Pin","1","2057-PH1-06-UA-ND","DAC8734"
"J2","Conn_01x04_Pin","1","2057-PH1-04-UA-ND","DAC8734"
"L1,U6","4.7u,TPS62745DSSR","2","490-10639-1-ND","DAC8734"
"R4","100k","1","311-100KCRCT-ND","DAC8734"
"R3","80k","1","541-CRCW080580K6FKEACCT-ND","DAC8734"
"R1,R2","10k","2","541-10.0KCCT-ND","DAC8734"
"R5,R6","4.7k","2","A129757CT-ND","DAC8734"
"C15,C17,C18,C19,C20,C22,C25","10u","7","1276-2872-1-ND","DAC8734"
"C1,C3,C8,C9,C10,C12","10u","6","478-TCTP1C106M8RCT-ND","DAC8734"
"C13,C14,C21,C23,C24","0.1u","5","478-KGM21NR71H104KTCT-ND","DAC8734"
"C2,C4,C5,C6,C7,C11","0.1u","6","445-C2012X7R2A104K125DACT-ND","DAC8734"
